parish_name,parish_id,median_house_rental_value_per_m2
Bonfim,11A131202,9
Campanhã,11A131203,7.54
Paranhos,11A131210,8.48
Ramalde,11A131211,8.09
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",11A131216,9.50
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",11A131217,9.40
União das freguesias de Lordelo do Ouro e Massarelos,11A131218,9.33
Ajuda,170110601,12.50
Alcântara,170110602,11.75
Alvalade,170110654,11.74
Areeiro,170110655,11.20
Arroios,170110656,11.29
Avenidas Novas,170110657,13.04
Beato,170110607,10.28
Belém,170110658,12.08
Benfica,170110608,11.14
Campo de Ourique,170110659,13.98
Campolide,170110610,12.50
Carnide,170110611,12.59
Estrela,170110660,14
Lumiar,170110618,11.14
Marvila,170110621,10.86
Misericórdia,170110661,14.49
Olivais,170110633,11.02
Parque das Nações,170110662,13.55
Penha de França,170110663,10.58
Santa Clara,170110664,8.82
Santa Maria Maior,170110665,13.90
Santo António,170110666,14.25
São Domingos de Benfica,170110639,11.80
São Vicente,170110667,12.50
